date,hospital_padronizado,cidade,especialidade,tipo_alerta,count,year,month,day_of_week
2025-08-11,POLICLÍNICA JOSÉ GILVAN LEITE SAMPAIO,Brejo Santo,CARDIOLOGIA,Agendamentos,4,2025,8,Monday
2025-08-11,POLICLÍNICA JOSÉ GILVAN LEITE SAMPAIO,Brejo Santo,CARDIOLOGIA,Pré 10 dias,4,2025,8,Monday
2025-08-11,POLICLÍNICA RAIMUNDO SOARES RESENDE,Crateús,CARDIOLOGIA,Pré 2 dias,21,2025,8,Monday
2025-08-11,POLÍNICA JOÃO PEREIRA DOS SANTOS,Barbalha,CARDIOLOGIA,Agendamentos,1,2025,8,Monday
2025-08-11,POLÍNICA JOÃO PEREIRA DOS SANTOS,Barbalha,CARDIOLOGIA,Pré 10 dias,3,2025,8,Monday
2025-08-11,POLÍNICA JOÃO PEREIRA DOS SANTOS,Barbalha,CARDIOLOGIA,Pré 2 dias,10,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CARDIOLOGIA - MARCAPASSO,Agendamentos,1,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CARDIOLOGIA - MARCAPASSO,Pré 10 dias,3,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CARDIOLOGIA - MARCAPASSO,Pré 2 dias,3,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CARDIOLOGIA OBSTETRICIA,Agendamentos,3,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CARDIOLOGIA PARECER PRÉ CIRURGIA,Agendamentos,47,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CARDIOPATIA CONGENITA,Agendamentos,22,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CARDIOPEDIATRIA,Agendamentos,86,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CARDIOPEDIATRIA,Pré 10 dias,28,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CARDIOPEDIATRIA,Pré 2 dias,45,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURG VASC VARIZES,Agendamentos,1,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURG VASC VARIZES,Pré 2 dias,12,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO CARIRI,Juazeiro do Norte,CIRURGIA BUCO MAXILO,Agendamentos,33,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO CARIRI,Juazeiro do Norte,CIRURGIA BUCO MAXILO,Pré 10 dias,6,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO CARIRI,Juazeiro do Norte,CIRURGIA BUCO MAXILO,Pré 2 dias,16,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA BUCO MAXILO,Agendamentos,12,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA BUCO MAXILO,Pré 2 dias,6,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL VALE DO JAGUARIBE,Limoeiro do Norte,CIRURGIA BUCO MAXILO,Agendamentos,10,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL VALE DO JAGUARIBE,Limoeiro do Norte,CIRURGIA BUCO MAXILO,Pré 2 dias,3,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA BUCOMAXILO  FACIAL,Agendamentos,281,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA BUCOMAXILO  FACIAL,Pré 10 dias,25,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA BUCOMAXILO  FACIAL,Pré 2 dias,34,2025,8,Monday
2025-08-11,HOSPITAL UNIVERSITÁRIO DO CEARÁ,Fortaleza,CIRURGIA CABEÇA E PESCOÇO,Agendamentos,111,2025,8,Monday
2025-08-11,HOSPITAL UNIVERSITÁRIO DO CEARÁ,Fortaleza,CIRURGIA CABEÇA E PESCOÇO,Pré 10 dias,11,2025,8,Monday
2025-08-11,HOSPITAL UNIVERSITÁRIO DO CEARÁ,Fortaleza,CIRURGIA CABEÇA E PESCOÇO,Pré 2 dias,14,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CIRURGIA CARDIACA,Agendamentos,2,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CIRURGIA CARDIACA - PRE OPERATORIO,Pré 10 dias,1,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CIRURGIA CARDIACA - PRE OPERATORIO,Pré 2 dias,13,2025,8,Monday
2025-08-11,HOSPITAL ESTADUAL LEONARDO DA VINCI,Fortaleza,CIRURGIA DE CABEÇA E PESCOÇO,Agendamentos,8,2025,8,Monday
2025-08-11,HOSPITAL ESTADUAL LEONARDO DA VINCI,Fortaleza,CIRURGIA DE CABEÇA E PESCOÇO,Pré 10 dias,9,2025,8,Monday
2025-08-11,HOSPITAL GERAL WALDEMAR ALCANTARA,Fortaleza,CIRURGIA DE CABEÇA E PESCOÇO,Agendamentos,15,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO CARIRI,Juazeiro do Norte,CIRURGIA DE CABEÇA E PESCOÇO,Agendamentos,7,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA DE CABEÇA E PESCOÇO,Agendamentos,10,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA DO APAREL DIGESTIVO,Agendamentos,185,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA DO APAREL DIGESTIVO,Pré 10 dias,8,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA DO APAREL DIGESTIVO,Pré 2 dias,13,2025,8,Monday
2025-08-11,CEO DR. ANIBAL VIANA DE FIGUEIREDO,Crato,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 10 dias,1,2025,8,Monday
2025-08-11,CEO DR. ANIBAL VIANA DE FIGUEIREDO,Crato,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,10,2025,8,Monday
2025-08-11,CEO DR. ANTENOR ISAÍAS ANDRADE,Ubajara,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 10 dias,2,2025,8,Monday
2025-08-11,CEO DR. DANILO DALMO ROCHA CORRÊA,Caucaia,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 10 dias,1,2025,8,Monday
2025-08-11,CEO DR. DANILO DALMO ROCHA CORRÊA,Caucaia,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,6,2025,8,Monday
2025-08-11,CEO DR. EDILBERTO CAVALCANTE PORTO,Aracati,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,2,2025,8,Monday
2025-08-11,CEO DR. FRANCISCO MANSUETO DE SOUSA,Cascavel,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 10 dias,1,2025,8,Monday
2025-08-11,CEO DR. FRANCISCO MANSUETO DE SOUSA,Cascavel,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,4,2025,8,Monday
2025-08-11,CEO DR. HUGUES PESSOA AMORIM,Itapipoca,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 10 dias,10,2025,8,Monday
2025-08-11,CEO DR. JOÃO EDUARDO NETO,Limoeiro do Norte,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,6,2025,8,Monday
2025-08-11,CEO DR. JOSÉ FELÍCIO FILHO,Quixeramobim,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 10 dias,7,2025,8,Monday
2025-08-11,CEO DR. JOSÉ FELÍCIO FILHO,Quixeramobim,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,4,2025,8,Monday
2025-08-11,CEO DR. JOSÉ MARCELO DE HOLANDA,Baturité,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 10 dias,3,2025,8,Monday
2025-08-11,CEO DR. JOSÉ MARCELO DE HOLANDA,Baturité,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,8,2025,8,Monday
2025-08-11,CEO DR. NESTOR DE PAULA RIBEIRO PESSOA,Acaraú,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 10 dias,4,2025,8,Monday
2025-08-11,CEO DR. NESTOR DE PAULA RIBEIRO PESSOA,Acaraú,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,4,2025,8,Monday
2025-08-11,CEO DR. TICIANO VAN DEN BRULE MATOS,Juazeiro do Norte,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,7,2025,8,Monday
2025-08-11,CEO EDUARDO PEIXOTO DE MEDEIROS,Icó,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 10 dias,7,2025,8,Monday
2025-08-11,CEO ELIZABETE GONÇALVES REGO,Tauá,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 10 dias,13,2025,8,Monday
2025-08-11,CEO ELIZABETE GONÇALVES REGO,Tauá,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,10,2025,8,Monday
2025-08-11,CEO JOSÉ HINDENBURG SABINO AGUIAR,Camocim,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,17,2025,8,Monday
2025-08-11,CEO MANOEL INÁCIO TORRES,Brejo Santo,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,9,2025,8,Monday
2025-08-11,CEO NEUSA PRADO GONDIM DE OLIVEIRA,Maracanaú,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,6,2025,8,Monday
2025-08-11,CEO ODUVALDO FERREIRA LESSA,Iguatu,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 10 dias,2,2025,8,Monday
2025-08-11,CEO ODUVALDO FERREIRA LESSA,Iguatu,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,5,2025,8,Monday
2025-08-11,CEO RAIMUNDO FIALHO DE ASSIS,São Gonçalo do Amarante,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 10 dias,2,2025,8,Monday
2025-08-11,CEO RAIMUNDO FIALHO DE ASSIS,São Gonçalo do Amarante,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,8,2025,8,Monday
2025-08-11,CEO REITOR ÍCARO DE SOUSA MOREIRA,Sobral,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,6,2025,8,Monday
2025-08-11,DR. RAIMUNDO XAVIER DE ARAÚJO,Russas,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 10 dias,5,2025,8,Monday
2025-08-11,DR. RAIMUNDO XAVIER DE ARAÚJO,Russas,CIRURGIA E TRAUMATOLOGIA BUCOMAXILOFACIAL,Pré 2 dias,18,2025,8,Monday
2025-08-11,HOSPITAL ESTADUAL LEONARDO DA VINCI,Fortaleza,CIRURGIA GERAL,Agendamentos,111,2025,8,Monday
2025-08-11,HOSPITAL ESTADUAL LEONARDO DA VINCI,Fortaleza,CIRURGIA GERAL,Pré 10 dias,14,2025,8,Monday
2025-08-11,HOSPITAL ESTADUAL LEONARDO DA VINCI,Fortaleza,CIRURGIA GERAL,Pré 2 dias,11,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA GERAL,Agendamentos,295,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA GERAL,Pré 10 dias,39,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA GERAL,Pré 2 dias,40,2025,8,Monday
2025-08-11,HOSPITAL GERAL WALDEMAR ALCANTARA,Fortaleza,CIRURGIA GERAL,Agendamentos,82,2025,8,Monday
2025-08-11,HOSPITAL GERAL WALDEMAR ALCANTARA,Fortaleza,CIRURGIA GERAL,Pré 10 dias,7,2025,8,Monday
2025-08-11,HOSPITAL GERAL WALDEMAR ALCANTARA,Fortaleza,CIRURGIA GERAL,Pré 2 dias,12,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO CARIRI,Juazeiro do Norte,CIRURGIA GERAL,Agendamentos,43,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO CARIRI,Juazeiro do Norte,CIRURGIA GERAL,Pré 10 dias,10,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO CARIRI,Juazeiro do Norte,CIRURGIA GERAL,Pré 2 dias,12,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA GERAL,Agendamentos,147,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA GERAL,Pré 10 dias,9,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA GERAL,Pré 2 dias,16,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL NORTE,Sobral,CIRURGIA GERAL,Agendamentos,24,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL NORTE,Sobral,CIRURGIA GERAL,Pré 10 dias,6,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL NORTE,Sobral,CIRURGIA GERAL,Pré 2 dias,4,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL VALE DO JAGUARIBE,Limoeiro do Norte,CIRURGIA GERAL,Agendamentos,29,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL VALE DO JAGUARIBE,Limoeiro do Norte,CIRURGIA GERAL,Pré 10 dias,18,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL VALE DO JAGUARIBE,Limoeiro do Norte,CIRURGIA GERAL,Pré 2 dias,12,2025,8,Monday
2025-08-11,POLICLÍNICA CORONEL LIBÓRIO G. SILVA,Camocim,CIRURGIA GERAL,Agendamentos,1,2025,8,Monday
2025-08-11,POLICLÍNICA CORONEL LIBÓRIO G. SILVA,Camocim,CIRURGIA GERAL,Pré 2 dias,29,2025,8,Monday
2025-08-11,POLICLÍNICA DR. CLOVIS AMORA VASCONCELOS BATURITE,Baturité,CIRURGIA GERAL,Agendamentos,2,2025,8,Monday
2025-08-11,POLICLÍNICA DR. FRANCISCO EDVALDO COELHO MOITA,Tianguá,CIRURGIA GERAL,Agendamentos,2,2025,8,Monday
2025-08-11,POLICLÍNICA DR. FRUTUOSO GOMES DE FREITAS,Tauá,CIRURGIA GERAL,Agendamentos,1,2025,8,Monday
2025-08-11,POLICLÍNICA DR. FRUTUOSO GOMES DE FREITAS,Tauá,CIRURGIA GERAL,Pré 10 dias,7,2025,8,Monday
2025-08-11,POLICLÍNICA DRA MARCIA MOREIRA DE MENESES,Pacajus,CIRURGIA GERAL,Pré 10 dias,16,2025,8,Monday
2025-08-11,POLICLÍNICA JUDITE SALES SARAIVA,Limoeiro do Norte,CIRURGIA GERAL,Pré 2 dias,14,2025,8,Monday
2025-08-11,POLICLÍNICA REGIONAL SENADOR ALMIR PINTO,Maracanaú,CIRURGIA GERAL,Pré 2 dias,1,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA GERAL ONCOLOGICA,Agendamentos,5,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA GERAL ONCOLOGICA,Pré 2 dias,5,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA OBSTETRICA,Agendamentos,5,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA OBSTETRICA,Pré 2 dias,2,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL NORTE,Sobral,CIRURGIA OBSTETRICA,Agendamentos,2,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL NORTE,Sobral,CIRURGIA OBSTETRICA,Pré 2 dias,4,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA ONCOLÓGICA,Agendamentos,122,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA ONCOLÓGICA,Pré 10 dias,17,2025,8,Monday
2025-08-11,HOSPITAL UNIVERSITÁRIO DO CEARÁ,Fortaleza,CIRURGIA ONCOLÓGICA,Agendamentos,65,2025,8,Monday
2025-08-11,HOSPITAL UNIVERSITÁRIO DO CEARÁ,Fortaleza,CIRURGIA ONCOLÓGICA,Pré 10 dias,22,2025,8,Monday
2025-08-11,HOSPITAL UNIVERSITÁRIO DO CEARÁ,Fortaleza,CIRURGIA ONCOLÓGICA,Pré 2 dias,24,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA PEDIÁTRICA,Agendamentos,11,2025,8,Monday
2025-08-11,HOSPITAL GERAL WALDEMAR ALCANTARA,Fortaleza,CIRURGIA PEDIÁTRICA,Pré 2 dias,4,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL NORTE,Sobral,CIRURGIA PEDIÁTRICA,Agendamentos,5,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA PLÁSTICA,Agendamentos,35,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA PLÁSTICA,Pré 2 dias,12,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO CARIRI,Juazeiro do Norte,CIRURGIA PLÁSTICA,Agendamentos,8,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CIRURGIA TORÁCICA,Agendamentos,48,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CIRURGIA TORÁCICA,Pré 10 dias,2,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CIRURGIA TORÁCICA,Pré 2 dias,26,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA TORÁCICA,Agendamentos,3,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA TORÁCICA,Pré 10 dias,4,2025,8,Monday
2025-08-11,HOSPITAL DE MESSEJANA,Fortaleza,CIRURGIA VASCULAR,Pré 2 dias,14,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA VASCULAR,Agendamentos,194,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA VASCULAR,Pré 10 dias,21,2025,8,Monday
2025-08-11,HOSPITAL GERAL FORTALEZA,Fortaleza,CIRURGIA VASCULAR,Pré 2 dias,36,2025,8,Monday
2025-08-11,HOSPITAL GERAL WALDEMAR ALCANTARA,Fortaleza,CIRURGIA VASCULAR,Agendamentos,39,2025,8,Monday
2025-08-11,HOSPITAL GERAL WALDEMAR ALCANTARA,Fortaleza,CIRURGIA VASCULAR,Pré 10 dias,19,2025,8,Monday
2025-08-11,HOSPITAL GERAL WALDEMAR ALCANTARA,Fortaleza,CIRURGIA VASCULAR,Pré 2 dias,16,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO CARIRI,Juazeiro do Norte,CIRURGIA VASCULAR,Pré 2 dias,1,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA VASCULAR,Agendamentos,64,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA VASCULAR,Pré 10 dias,9,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL DO SERTAO CENTRAL,Quixeramobim,CIRURGIA VASCULAR,Pré 2 dias,8,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL NORTE,Sobral,CIRURGIA VASCULAR,Agendamentos,32,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL NORTE,Sobral,CIRURGIA VASCULAR,Pré 10 dias,7,2025,8,Monday
2025-08-11,HOSPITAL REGIONAL NORTE,Sobral,CIRURGIA VASCULAR,Pré 2 dias,5,2025,8,Monday
